id,campaign_id,social_account_id,added_at,auto_publish
6009baae-35aa-4299-9618-8478aad63c75,a438b658-82e5-48db-b28a-b4f81aeaf6ac,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-24 11:42:35.206789,t
2114bd91-7281-4ffc-b6c4-1f89186ecf4c,d7452c55-bc1e-4c27-a68e-a9a5124cdcd1,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-24 12:00:14.052607,t
6eb07945-ff5d-449f-b833-b6d08e26a444,d7452c55-bc1e-4c27-a68e-a9a5124cdcd1,f7e9fed0-4ed0-467e-ac02-bf140adae7ed,2026-03-24 12:00:14.052607,t
b516b2ee-e5f2-4cc8-a680-e4f7f744756d,d7452c55-bc1e-4c27-a68e-a9a5124cdcd1,b5fb6824-d40c-4834-bcf6-8c41474c47a5,2026-03-24 12:00:14.052607,t
c2a86ebe-b811-4abd-a9f3-2cda69c8a0f4,d7452c55-bc1e-4c27-a68e-a9a5124cdcd1,f51792f4-cde1-4df4-85a5-f70b874d79a6,2026-03-24 12:00:14.052607,t
5bc71c39-a2bb-4e71-b4a7-540db038721c,2fd61b3e-6010-44b2-9645-56f093ec124d,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-24 15:53:32.193993,t
8469f07a-4501-450f-9cea-ae0acbbcfedf,2fd61b3e-6010-44b2-9645-56f093ec124d,f7e9fed0-4ed0-467e-ac02-bf140adae7ed,2026-03-24 15:53:32.193993,t
391bedde-e0b2-4c2c-a524-456918eacf1f,2fd61b3e-6010-44b2-9645-56f093ec124d,b5fb6824-d40c-4834-bcf6-8c41474c47a5,2026-03-24 15:53:32.193993,t
47173eb5-9797-48b0-93a5-2e7559c63155,2fd61b3e-6010-44b2-9645-56f093ec124d,f51792f4-cde1-4df4-85a5-f70b874d79a6,2026-03-24 15:53:32.193993,t
745d1aae-f2f3-4ced-800b-1bc16fb976f9,a6c16c30-166d-4383-821a-c40eab5978e4,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-25 00:52:19.699822,t
124c20a6-bddd-4e2f-9e2a-106c1ebecd7e,a6c16c30-166d-4383-821a-c40eab5978e4,f7e9fed0-4ed0-467e-ac02-bf140adae7ed,2026-03-25 00:52:19.699822,t
67244a6c-a951-4abb-8396-45b5ae231c9d,a6c16c30-166d-4383-821a-c40eab5978e4,f51792f4-cde1-4df4-85a5-f70b874d79a6,2026-03-25 00:52:19.699822,t
8f77bc72-bebf-4f8e-95a8-02150dbec227,a6c16c30-166d-4383-821a-c40eab5978e4,b5fb6824-d40c-4834-bcf6-8c41474c47a5,2026-03-25 00:52:19.699822,t
83667f34-1579-4e96-aad3-f780ed6a66c6,9ad7d9ed-ef41-414d-95f6-f7b4fa5b8861,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-25 03:41:50.038546,t
5715f5ac-dfa6-4d36-8ad8-ee9b26b68dad,4286a2db-10f8-42d5-84a6-6029887121d1,28e07d5b-fd3f-4ac7-b0d1-32aa0c3055c4,2026-03-25 13:15:35.014241,t
