id,tenant_domain,market_id,date,source,medium,campaign,sessions,users,conversions,revenue,orbit_clicks,created_at
ab85ba39-21c2-4a1e-8d79-bf9e7b9055fd,synozur.com,,2026-06-23,bing,organic,(organic),8,4,0,0,0,2026-06-27 18:42:47.431756
a17fb49d-df26-45ba-8c2e-c2ce84e16ab5,synozur.com,,2026-06-25,facebook,social,polaris-055,8,6,0,0,0,2026-06-27 18:42:47.431756
20b3bc6a-d819-4774-a94a-b0f0c3dfb7c9,synozur.com,,2026-06-26,facebook,social,polaris-055,7,4,0,0,0,2026-06-27 18:42:47.431756
5bf7c85f-c5dd-4b32-832e-19393012aa4f,synozur.com,,2026-06-22,google,organic,(organic),6,5,0,0,0,2026-06-27 18:42:47.431756
c1a09fe2-fbb2-4ce5-9c9a-6035ff53c716,synozur.com,,2026-06-24,bing,organic,(organic),5,5,0,0,0,2026-06-27 18:42:47.431756
d0ed3809-a251-467d-9e71-1147a4a2cb3f,synozur.com,,2026-06-24,facebook,social,polaris-055,5,4,0,0,0,2026-06-27 18:42:47.431756
3ada0224-1081-4756-8b16-98eaa6a7e9d1,synozur.com,,2026-06-25,bing,organic,(organic),5,4,0,0,0,2026-06-27 18:42:47.431756
9347ea08-2c2f-4856-8464-56ad63e13373,synozur.com,,2026-06-20,google,organic,(organic),4,1,0,0,0,2026-06-27 18:42:47.431756
11f8a830-6619-4d6d-97b4-702df2d5d4ff,synozur.com,,2026-06-21,bing,organic,(organic),4,4,0,0,0,2026-06-27 18:42:47.431756
fdd55a3e-d9b0-496f-8748-6a26f378afa4,synozur.com,,2026-06-26,linkedin,social,polaris-055,4,4,0,0,0,2026-06-27 18:42:47.431756
6a502e07-5d34-4b25-be74-8b671b94ed8e,synozur.com,,2026-06-26,google,organic,(organic),3,2,0,0,0,2026-06-27 18:42:47.431756
49858023-fede-483b-afd4-3eb17c6fcecc,synozur.com,,2026-06-20,bing,organic,(organic),2,1,0,0,0,2026-06-27 18:42:47.431756
30b12b44-b91c-4e85-a8f0-605e222afbea,synozur.com,,2026-06-30,google,organic,(organic),3,3,0,0,0,2026-07-01 23:57:21.819233
d3ee63ec-09a5-4ec5-acaf-e18413af6faf,synozur.com,,2026-06-30,cn.bing.com,referral,(referral),2,2,0,0,0,2026-07-01 23:57:21.819233
c390143d-5f86-4eb4-9c26-0d92ff8e66c9,synozur.com,,2026-06-22,chatgpt.com,ai-assistant,(ai-assistant),2,2,0,0,0,2026-06-25 18:04:13.753416
0cc62eb2-f5b7-4e87-bce8-3890c7c0de85,synozur.com,,2026-06-23,linkedin.com,referral,(referral),2,2,0,0,0,2026-06-25 18:04:13.753416
58ac1eb9-3ddb-4daa-9188-32241ee82ea0,synozur.com,,2026-06-20,facebook,social,ai-q2-2026,2,2,0,0,0,2026-06-27 18:42:47.431756
315a1dcd-8b0f-4c57-acfd-7c81aab249d5,synozur.com,,2026-06-22,chatgpt.com,ai-assistant,(ai-assistant),2,2,0,0,0,2026-06-27 18:42:47.431756
9e85cf0c-fbb6-4996-8316-412bc4fb4910,synozur.com,,2026-06-23,linkedin.com,referral,(referral),2,2,0,0,0,2026-06-27 18:42:47.431756
e2b85b38-d472-41e8-a805-0db629970314,synozur.com,,2026-06-18,linkedin.com,referral,(referral),1,1,0,0,0,2026-06-25 18:04:13.753416
eefbdb58-9b72-48d3-82a0-69bd1f76b110,synozur.com,,2026-06-18,teams.public.onecdn.static.microsoft,referral,(referral),1,1,0,0,0,2026-06-25 18:04:13.753416
a02b2010-815e-4c74-a626-8628859284ee,synozur.com,,2026-06-24,chatgpt.com,ai-assistant,(ai-assistant),2,2,0,0,0,2026-06-27 18:42:47.431756
13d6fddd-2698-4953-b926-5e94445d8e5d,synozur.com,,2026-06-30,(not set),(none),(not set),1,1,0,0,0,2026-07-01 23:57:21.819233
fa8300d1-e514-451e-bc40-570d2804f349,synozur.com,,2026-06-21,(not set),(none),(not set),1,1,0,0,0,2026-06-25 18:04:13.753416
1c495288-2a64-460d-860b-fc2fce3f2647,synozur.com,,2026-06-21,linkedin,social,ai-availability-risk-readiness,1,1,0,0,0,2026-06-25 18:04:13.753416
9aab8866-fd08-4e33-951d-4f8cf7b38392,synozur.com,,2026-06-22,duckduckgo,organic,(organic),1,1,0,0,0,2026-06-25 18:04:13.753416
a0653eb6-850d-4775-85f0-fb07f13b5dfb,synozur.com,,2026-06-22,linkedin.com,referral,(referral),1,1,0,0,0,2026-06-25 18:04:13.753416
d2fd34e9-2fb4-4b65-9c9b-b3870822dbbe,synozur.com,,2026-06-22,statics.teams.cdn.office.net,referral,(referral),1,1,0,0,0,2026-06-25 18:04:13.753416
4a6774b2-777d-4ac9-a812-d4c30b98cfb1,synozur.com,,2026-06-23,ecosia.org,organic,(organic),1,1,0,0,0,2026-06-25 18:04:13.753416
f02e694a-ef51-40f0-8672-512b53e94a23,synozur.com,,2026-06-23,google,organic,(organic),1,1,0,0,0,2026-06-25 18:04:13.753416
ba6d2c31-61a5-464b-a00f-06948cffdab4,synozur.com,,2026-06-23,statics.teams.cdn.office.net,referral,(referral),1,1,0,0,0,2026-06-25 18:04:13.753416
97b469f6-1983-4a27-a59f-03172a013586,synozur.com,,2026-06-24,google,organic,(organic),2,2,0,0,0,2026-06-27 18:42:47.431756
9c22f629-be54-4ab1-9c52-38ef5d5f3365,synozur.com,,2026-06-25,google,organic,(organic),2,2,0,0,0,2026-06-27 18:42:47.431756
0081f148-699b-4332-b601-58c9840551ad,synozur.com,,2026-06-20,linkedin,social,ai-availability-risk-readiness,1,1,0,0,0,2026-06-27 18:42:47.431756
5d81d615-6d82-4f71-bc2b-946b4c560b33,synozur.com,,2026-06-21,(not set),(none),(not set),1,1,0,0,0,2026-06-27 18:42:47.431756
f4224012-002c-46a1-aa1a-fe6e231d09f7,synozur.com,,2026-06-21,linkedin,social,ai-availability-risk-readiness,1,1,0,0,0,2026-06-27 18:42:47.431756
99d161e0-1634-4df3-984f-657f2a5451c8,synozur.com,,2026-06-22,duckduckgo,organic,(organic),1,1,0,0,0,2026-06-27 18:42:47.431756
b836f30e-50b2-4063-9fed-718a4c2439c7,synozur.com,,2026-06-22,linkedin.com,referral,(referral),1,1,0,0,0,2026-06-27 18:42:47.431756
029bb83d-31d8-4984-9262-08859a235398,synozur.com,,2026-06-30,facebook,social,2026-summer-of-copilot-week-1,1,1,0,0,0,2026-07-01 23:57:21.819233
9fffc977-59c6-4122-82ed-865244f52637,synozur.com,,2026-06-24,(direct),(none),(direct),38,37,0,0,0,2026-06-25 23:37:01.664596
41bf5740-e02a-4a4c-ae6b-cef8d4600d98,synozur.com,,2026-06-24,bing,organic,(organic),5,5,0,0,0,2026-06-25 23:37:01.664596
ee16da3f-2529-4cee-a68e-a2125ea80b74,synozur.com,,2026-06-24,facebook,social,polaris-055,5,4,0,0,0,2026-06-25 23:37:01.664596
de6c66ce-7865-411a-86ef-929992bdfb2a,synozur.com,,2026-06-24,chatgpt.com,ai-assistant,(ai-assistant),2,2,0,0,0,2026-06-25 23:37:01.664596
3c6f4e50-9fc5-417b-a677-ec00661a4fe6,synozur.com,,2026-06-24,google,organic,(organic),2,2,0,0,0,2026-06-25 23:37:01.664596
9922a185-4941-4927-a1ab-0e6b5609d635,synozur.com,,2026-06-24,linkedin,social,ai-availability-risk-readiness,1,1,0,0,0,2026-06-25 23:37:01.664596
b589fb74-2547-469c-b15c-c0d394260ca5,synozur.com,,2026-06-24,linkedin.com,referral,(referral),1,1,0,0,0,2026-06-25 23:37:01.664596
1649495e-59c9-4479-8482-fcf6f99c422d,synozur.com,,2026-06-24,podmatch.com,referral,(referral),1,1,0,0,0,2026-06-25 23:37:01.664596
91a8da46-ac7b-453c-afcc-8d56efd27689,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2026-06-25,facebook,social,polaris-055,0,0,0,0,5,2026-06-26 01:07:10.399462
4e1b7d23-8766-4867-98a9-77500e63ce95,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2026-06-25,linkedin,social,ai-q2-2026,0,0,0,0,2,2026-06-26 01:07:10.450328
