id,campaign_id,asset_id,override_title,override_content,sort_order,added_at
8d801711-670d-49ef-a07c-6a8ae8e7aaf3,7da98b3c-256e-4ca2-a952-8c37e1d69829,1c9c4bed-bb6e-4d7e-92dc-be36c42b9032,,,0,2026-04-03 18:55:58.023351
7d7e3390-97f7-4014-a0d5-079b8943ab2a,e4b33a78-3c0a-4ea9-95ad-f9ecef3d5842,a3975063-7520-4449-aaf5-279e72159e0a,,,0,2026-04-05 20:04:35.649397
9b5fa482-d09d-4c06-84ea-05de455ad44a,8dc0e13f-c91d-4cc4-abee-7b476b91598d,164acb5a-5955-4380-8dda-47af69ff5de7,,,0,2026-04-06 18:05:42.413232
f1b032ec-28a1-4eeb-a310-db854b2b4cb2,7b02fe4c-5950-408e-9275-9696affa74bc,164acb5a-5955-4380-8dda-47af69ff5de7,,,0,2026-04-06 19:18:39.154499
965546ad-dd48-48d1-883f-4e88985c0bc1,074c2655-ec3c-4264-ba92-352563b13a8e,164acb5a-5955-4380-8dda-47af69ff5de7,,,0,2026-04-06 20:16:05.915023
c91d99e2-b2e5-429b-9e3c-49248ff5a67b,900d7724-fe34-4a8e-9eb0-d2ff202837e0,a5910b2a-e87e-4898-9710-d03de78ab9b1,,,0,2026-04-10 06:30:18.092669
e6190d54-6398-47e1-a132-5044c2715c38,ecacc41f-7392-44ce-a3c7-59be6c87d623,d862ed89-e71f-4f1b-88b7-cd858e284302,,,0,2026-04-10 18:04:17.006878
d8b25d8d-6a69-450a-98db-848994588e14,ecacc41f-7392-44ce-a3c7-59be6c87d623,a5910b2a-e87e-4898-9710-d03de78ab9b1,,,1,2026-04-10 18:04:17.006878
a90bbfb3-05c6-4b92-aa3e-320b1277cfd1,ecacc41f-7392-44ce-a3c7-59be6c87d623,81271a3d-21d7-47a3-875f-41f16086c37c,,,2,2026-04-10 18:04:17.006878
aba02ae9-054d-4131-a2a1-e594539e4fa2,ecacc41f-7392-44ce-a3c7-59be6c87d623,a76688b3-3d77-478c-bf2f-45cb546d19ae,,,3,2026-04-10 18:04:17.006878
f74749eb-7c7d-4f8e-b572-f9fcc1a99892,ecacc41f-7392-44ce-a3c7-59be6c87d623,8bbb14a4-0bfd-4928-8706-ea1379e6455f,,,4,2026-04-10 18:04:17.006878
f29eddcc-a664-40c0-8c2f-83b8e7c3fc64,ecacc41f-7392-44ce-a3c7-59be6c87d623,216effa4-a29b-4385-8db4-1fb4f5f1fe05,,,5,2026-04-10 18:04:17.006878
e02b1a2c-ea05-467d-8a8b-3fdc2870acff,ecacc41f-7392-44ce-a3c7-59be6c87d623,29c360fc-8ce9-4862-81da-5796f85f985e,,,6,2026-04-10 18:04:17.006878
bc178b3f-e318-4761-a014-a791327dd1ac,ecacc41f-7392-44ce-a3c7-59be6c87d623,d10bbe96-a7a9-472b-8630-32b25ec714f3,,,7,2026-04-10 18:04:17.006878
1602db37-3987-49f6-86a8-85cbfb8ececf,ecacc41f-7392-44ce-a3c7-59be6c87d623,c48ca2d3-a5ec-4b54-943e-af30f4bac560,,,8,2026-04-10 18:04:17.006878
5f465394-ad4f-4e1a-8ffb-31d13b731633,ecacc41f-7392-44ce-a3c7-59be6c87d623,b16ba412-c287-4c52-820f-2e4ea6de3c28,,,9,2026-04-10 18:04:17.006878
398a1219-2859-4b5f-a501-19e0220a140c,ecacc41f-7392-44ce-a3c7-59be6c87d623,225b8ddf-47dc-401c-a3ff-5dfe1f185952,,,10,2026-04-10 18:04:17.006878
e19c3113-482a-45ae-ab63-3586f52900eb,ecacc41f-7392-44ce-a3c7-59be6c87d623,b4159923-dceb-48bd-a474-809c39df0f39,,,11,2026-04-10 18:04:17.006878
f754dcd7-a3b0-44dc-92f7-34151b1a888e,7ea9771c-f3c3-4072-8b9d-bf0bd02c988c,61296602-ed08-478e-8b5a-316b46c45b77,,,0,2026-04-10 20:43:27.713927
ab56a95d-17c5-4362-a909-011a410109b3,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,d862ed89-e71f-4f1b-88b7-cd858e284302,,,0,2026-04-14 03:15:44.531692
d635e4a4-e8f0-404d-b6b8-e98b1fafb177,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,81271a3d-21d7-47a3-875f-41f16086c37c,,,1,2026-04-14 03:15:44.531692
1308f2b3-ff6b-4c34-a32e-f6a30750dce1,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,a5910b2a-e87e-4898-9710-d03de78ab9b1,,,2,2026-04-14 03:15:44.531692
2bc72f72-15d9-4fc7-8874-fa52196cc5ba,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,216effa4-a29b-4385-8db4-1fb4f5f1fe05,,,3,2026-04-14 03:15:44.531692
d8cf02a0-ab34-42c1-8573-5224d835cf2d,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,29c360fc-8ce9-4862-81da-5796f85f985e,,,4,2026-04-14 03:15:44.531692
bd5471eb-0f94-4929-844c-bc7158428497,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,d10bbe96-a7a9-472b-8630-32b25ec714f3,,,5,2026-04-14 03:15:44.531692
1c43d369-1c0c-4112-a578-e3bce4da79f4,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,c48ca2d3-a5ec-4b54-943e-af30f4bac560,,,6,2026-04-14 03:15:44.531692
9c4bcdd0-e2b0-44da-a918-0db9c4f62c17,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,b16ba412-c287-4c52-820f-2e4ea6de3c28,,,7,2026-04-14 03:15:44.531692
989e2ff7-af45-4002-8ded-a13cd7f6b92e,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,225b8ddf-47dc-401c-a3ff-5dfe1f185952,,,8,2026-04-14 03:15:44.531692
bd752263-105d-428b-9f08-114827757035,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,b4159923-dceb-48bd-a474-809c39df0f39,,,9,2026-04-14 03:15:44.531692
0f0a7c25-33ca-4809-9580-badea3c83969,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,8bbb14a4-0bfd-4928-8706-ea1379e6455f,,,10,2026-04-14 03:15:44.531692
f464dcb6-f3af-464d-834d-fc104cd684fe,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,fa363e9c-e259-4e2c-ac3e-4ed6ce7b5c98,,,11,2026-04-14 03:15:44.531692
69da6320-a423-4609-ba8e-da64619c9c2c,ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,a76688b3-3d77-478c-bf2f-45cb546d19ae,,,12,2026-04-14 03:15:44.531692
