id,tenant_domain,market_id,name,goal_type,sales_goal,interview,product_id,target_persona_ids,targeting_filter,channels,conference_id,event_date,cadence_template_id,voice_profile_id,status,created_by,created_at,updated_at
5254d2eb-2b2d-4a10-8c2a-e51a795efaa0,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2026 Q3 NYC PE,event_invite,Get at least six leaders to commit to a free round table dinner in NYC in August with us and Florin Rotar to discuss value creation and measurement in PE portfolio companies,"{""goal"": ""Get at lease six leaders to commit to a free round table dinner in NYC in August with us and Florin Rotar to discuss value creation and measurement in PE portfolio companies"", ""message"": ""Engagement and networking within private equity operational leadership, case studies and frameworks to maximize AI ROI in a time of rising costs"", ""callToAction"": ""Register for the event""}",,"{8f14568f-55a9-4188-bdcf-7c530266f658,f56e8200-378f-485b-8c40-a29de672160f,49a6b904-8165-464a-913e-7bb0bd212589}","{""segments"": [], ""industries"": [], ""geographies"": [], ""targetRoles"": [], ""namedAccounts"": [""Haveli Investments"", ""bregal milestone""]}","{email,linkedin}",,2026-08-19 00:00:00,812efeff-28dc-4041-a637-e561542b6d6e,,draft,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-14 17:28:06.752097,2026-06-26 20:04:48.251
1e188712-9dfb-4331-9ec4-73e4d6b3ea71,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2027-07 AI GTM Webinar,event_invite,"Drive 20 new registrations for our event•	Grow the contact database — net-new registrants from social and partner reach.
•	Win GTM-services engagements — qualified working-session bookings from revenue and product leaders, weighted toward Microsoft partners.","{""goal"": ""Drive 20 new registrations for our event•\tGrow the contact database — net-new registrants from social and partner reach.\n•\tWin GTM-services engagements — qualified working-session bookings from revenue and product leaders, weighted toward Microsoft partners."", ""message"": ""Salesforce and HubSpot are racing to sell you AI agents — but who actually redesigns your go-to-market so it works on your data, in your voice, inside your Microsoft stack? Join Synozur CTO and former Microsoft 365 leader Chris McNulty for a live, demo-first session on the agentic GTM stack. You'll watch a real go-to-market redesign come to life across four arcs — Market Research, Marketing, Sales, and Product Management — distilled into Orbit, the platform we hand clients so the redesign keeps running. Built for revenue leaders and Microsoft partners scaling GTM without scaling headcount. Every attendee gets a free copy of Chris' upcoming book, \""Marketing in the AI Multiverse.\"" 45 minutes, live Q&A — save your seat."", ""callToAction"": ""Learn more at https://aka.synozur.com/ai-gtm-26-event and register at https://aka.synozur.com/ai-gtm-26""}",,"{ebfde5af-c96b-4e1e-8702-7f03fbc1827e,06d3b6dc-181d-4884-a85f-b2caf51d930c,8444ef29-69f9-4a4b-9b9d-86a923f1e069,ccbe985e-0864-4501-bf09-c6f1cab31e47,e960f0ae-edfb-4760-ad38-b8d5de8c9430}","{""segments"": [], ""industries"": [""Software"", ""Consulting""], ""geographies"": [], ""targetRoles"": [""cheif Revenue officer"", ""chief marketing officer""], ""namedAccounts"": []}","{email,linkedin}",ca0365a3-fa20-48c4-8b9b-81c3f9dcf06c,2026-07-28 00:00:00,b8ab5939-9892-4e72-91f1-681d051c1656,1430da60-7872-433b-9761-3a874f340a89,draft,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-23 19:07:58.712495,2026-06-25 17:13:35.573
3cfd4328-b25a-46f8-ae33-b19b9a9eb36d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Seko,meeting,Ssd,"{""goal"": ""Ssd"", ""message"": ""Weee great"", ""callToAction"": ""Call me""}",,"{06d3b6dc-181d-4884-a85f-b2caf51d930c,d84122c2-3532-4f21-b7d3-1960a64795e0,68f5b428-e38e-4903-823c-88eb9b66c45b}",{},"{email,linkedin}",,,82585eed-3228-42f0-bad3-0777e020614d,1430da60-7872-433b-9761-3a874f340a89,draft,116500d0-357e-4ace-a7af-7264ed58e22a,2026-07-08 21:54:30.228323,2026-07-08 21:54:30.228323
