id,name,display_name,description,competitor_limit,analysis_limit,admin_user_limit,read_write_user_limit,read_only_user_limit,multi_market_enabled,market_limit,monitoring_frequency,social_monitoring_enabled,trial_days,monthly_price,annual_price,is_active,is_default,sort_order,created_at,updated_at,website_monitor_enabled,product_monitor_enabled,features
f595b973-018b-49a7-86dc-fc4b27d3b4de,enterprise,Enterprise,Full-featured enterprise tier with unlimited access,500,500,10,25,50,t,50,weekly,f,,,,t,f,4,2026-01-29 21:25:43.49508,2026-06-23 03:33:23.692,f,f,"{""gtmPlan"": true, ""autoBuild"": true, ""campaigns"": true, ""partnerApi"": true, ""pdfReports"": true, ""battlecards"": true, ""multiMarket"": true, ""seoTracking"": true, ""socialPosts"": true, ""brandLibrary"": true, ""collaboration"": true, ""saturnCapture"": true, ""clientProjects"": true, ""contentLibrary"": true, ""customBranding"": true, ""outcomeMetrics"": true, ""personaBuilder"": true, ""socialAccounts"": true, ""ssoIntegration"": true, ""outreachCadence"": true, ""recommendations"": true, ""seoAeoOptimizer"": true, ""competitorAlerts"": true, ""customerFeedback"": true, ""directPublishing"": true, ""emailNewsletters"": true, ""hubspotEmailSync"": true, ""marketingPlanner"": true, ""outreachComposer"": true, ""podcastBriefings"": true, ""prospectResearch"": true, ""socialMonitoring"": true, ""editorialCalendar"": true, ""outreachInterview"": true, ""productManagement"": true, ""sentimentAnalysis"": true, ""websiteMonitoring"": true, ""contentRepurposing"": true, ""hubspotIntegration"": true, ""industryBenchmarks"": true, ""messagingFramework"": true, ""competitorDocuments"": true, ""conferencePromotion"": true, ""directEmailDelivery"": true, ""distributionPlanner"": true, ""pricingIntelligence"": true, ""relationshipReports"": true, ""webhookIntegrations"": true, ""marketingPerformance"": true, ""intelligenceBriefings"": true, ""salesOutreachCampaigns"": true, ""visualizationDashboard"": true, ""scheduledBriefingUpdates"": true}"
8cfd8ffe-b77d-462a-b1d0-e667c2a09289,free,Free,Basic free tier with limited access,1,1,1,0,2,f,1,weekly,f,,,,t,f,2,2026-01-29 21:25:43.448742,2026-06-23 03:33:23.536,t,t,"{""gtmPlan"": false, ""autoBuild"": false, ""campaigns"": false, ""partnerApi"": false, ""pdfReports"": false, ""battlecards"": false, ""multiMarket"": false, ""seoTracking"": false, ""socialPosts"": false, ""brandLibrary"": false, ""collaboration"": false, ""saturnCapture"": false, ""clientProjects"": false, ""contentLibrary"": false, ""customBranding"": false, ""outcomeMetrics"": false, ""personaBuilder"": false, ""socialAccounts"": false, ""ssoIntegration"": false, ""recommendations"": false, ""seoAeoOptimizer"": false, ""competitorAlerts"": false, ""customerFeedback"": false, ""directPublishing"": false, ""emailNewsletters"": false, ""hubspotEmailSync"": false, ""marketingPlanner"": false, ""podcastBriefings"": false, ""socialMonitoring"": false, ""editorialCalendar"": false, ""productManagement"": false, ""sentimentAnalysis"": false, ""websiteMonitoring"": false, ""contentRepurposing"": false, ""hubspotIntegration"": false, ""industryBenchmarks"": false, ""messagingFramework"": false, ""competitorDocuments"": false, ""conferencePromotion"": false, ""directEmailDelivery"": false, ""distributionPlanner"": false, ""pricingIntelligence"": false, ""relationshipReports"": false, ""webhookIntegrations"": false, ""marketingPerformance"": false, ""intelligenceBriefings"": false, ""visualizationDashboard"": false, ""scheduledBriefingUpdates"": false}"
51a19d50-1f95-4be3-9d9b-2bcab5f47131,pro,Pro,Professional tier for growing teams,10,25,2,5,10,t,5,weekly,f,,,,t,f,3,2026-01-29 21:25:43.472402,2026-06-23 03:33:23.617,f,f,"{""gtmPlan"": true, ""autoBuild"": false, ""campaigns"": false, ""partnerApi"": false, ""pdfReports"": true, ""battlecards"": true, ""multiMarket"": false, ""seoTracking"": true, ""socialPosts"": false, ""brandLibrary"": false, ""collaboration"": true, ""saturnCapture"": false, ""clientProjects"": true, ""contentLibrary"": false, ""customBranding"": false, ""outcomeMetrics"": true, ""personaBuilder"": true, ""socialAccounts"": false, ""ssoIntegration"": true, ""recommendations"": true, ""seoAeoOptimizer"": false, ""competitorAlerts"": true, ""customerFeedback"": true, ""directPublishing"": false, ""emailNewsletters"": false, ""hubspotEmailSync"": true, ""marketingPlanner"": false, ""podcastBriefings"": true, ""socialMonitoring"": true, ""editorialCalendar"": false, ""productManagement"": false, ""sentimentAnalysis"": true, ""websiteMonitoring"": true, ""contentRepurposing"": false, ""hubspotIntegration"": true, ""industryBenchmarks"": false, ""messagingFramework"": true, ""competitorDocuments"": true, ""conferencePromotion"": false, ""directEmailDelivery"": false, ""distributionPlanner"": false, ""pricingIntelligence"": true, ""relationshipReports"": true, ""webhookIntegrations"": false, ""marketingPerformance"": false, ""intelligenceBriefings"": true, ""visualizationDashboard"": false, ""scheduledBriefingUpdates"": false}"
045d685b-0059-479c-8f2a-7342f74eada3,trial,Trial,30-day trial with full feature access,6,10,1,2,5,t,5,weekly,t,60,,,t,t,1,2026-01-29 21:25:43.414752,2026-06-23 03:33:23.45,t,t,"{""gtmPlan"": true, ""autoBuild"": true, ""campaigns"": true, ""partnerApi"": false, ""pdfReports"": true, ""battlecards"": true, ""multiMarket"": true, ""seoTracking"": false, ""socialPosts"": true, ""brandLibrary"": true, ""collaboration"": false, ""saturnCapture"": true, ""clientProjects"": false, ""contentLibrary"": true, ""customBranding"": true, ""outcomeMetrics"": false, ""personaBuilder"": true, ""socialAccounts"": true, ""ssoIntegration"": true, ""recommendations"": true, ""seoAeoOptimizer"": false, ""competitorAlerts"": true, ""customerFeedback"": false, ""directPublishing"": false, ""emailNewsletters"": true, ""hubspotEmailSync"": false, ""marketingPlanner"": true, ""podcastBriefings"": true, ""socialMonitoring"": true, ""editorialCalendar"": false, ""productManagement"": true, ""sentimentAnalysis"": false, ""websiteMonitoring"": true, ""contentRepurposing"": false, ""hubspotIntegration"": false, ""industryBenchmarks"": false, ""messagingFramework"": true, ""competitorDocuments"": false, ""conferencePromotion"": false, ""directEmailDelivery"": false, ""distributionPlanner"": false, ""pricingIntelligence"": false, ""relationshipReports"": true, ""webhookIntegrations"": false, ""marketingPerformance"": false, ""intelligenceBriefings"": true, ""visualizationDashboard"": false, ""scheduledBriefingUpdates"": false}"
e7bec1ce-242f-4460-963c-8a4864c10997,unlimited,Unlimited,,20000,10000,100,200,500,t,,weekly,t,,,,t,f,0,2026-01-29 21:29:30.770666,2026-06-23 03:33:23.767,t,t,"{""gtmPlan"": true, ""autoBuild"": true, ""campaigns"": true, ""partnerApi"": true, ""pdfReports"": true, ""battlecards"": true, ""multiMarket"": true, ""seoTracking"": true, ""socialPosts"": true, ""brandLibrary"": true, ""collaboration"": true, ""saturnCapture"": true, ""clientProjects"": true, ""contentLibrary"": true, ""customBranding"": true, ""outcomeMetrics"": true, ""personaBuilder"": true, ""socialAccounts"": true, ""ssoIntegration"": true, ""outreachCadence"": true, ""recommendations"": true, ""seoAeoOptimizer"": true, ""competitorAlerts"": true, ""customerFeedback"": true, ""directPublishing"": true, ""emailNewsletters"": true, ""hubspotEmailSync"": true, ""marketingPlanner"": true, ""outreachComposer"": true, ""podcastBriefings"": true, ""prospectResearch"": true, ""socialMonitoring"": true, ""editorialCalendar"": true, ""outreachInterview"": true, ""productManagement"": true, ""sentimentAnalysis"": true, ""websiteMonitoring"": true, ""contentRepurposing"": true, ""hubspotIntegration"": true, ""industryBenchmarks"": true, ""messagingFramework"": true, ""competitorDocuments"": true, ""conferencePromotion"": true, ""directEmailDelivery"": true, ""distributionPlanner"": true, ""pricingIntelligence"": true, ""relationshipReports"": true, ""webhookIntegrations"": true, ""marketingPerformance"": true, ""intelligenceBriefings"": true, ""salesOutreachCampaigns"": true, ""visualizationDashboard"": true, ""scheduledBriefingUpdates"": true}"
